STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE,,,
,Nixon (R),Humphrey (D),Nixon (R),Humphrey (D),,
AL,,,146923,196579,706420,1049922
AK,3,,37600,35411,10024,83035
AZ,5,,266721,170514,49701,486936
AR,,,190759,188228,240982,619969
CA,40,,3467664,3244318,539605,7251587
CO,6,,409345,335174,66680,811199
CT,,8,556721,621561,77950,1256232
DE,3,,96714,89194,28459,214367
DC,,3,31012,139566,0,170578
FL,14,,886804,676794,624207,2187805
GA,,,380111,334440,535715,1250266
HI,,4,91425,141324,3469,236218
ID,4,,165369,89273,36541,291183
IL,26,,2174774,2039814,405161,4619749
IN,13,,1067885,806659,249053,2123597
IA,9,,619106,476699,72126,1167931
KS,7,,478674,302996,91113,872783
KY,9,,462411,397541,195941,1055893
LA,,,257535,309615,530300,1097450
ME,,4,169254,217312,6370,392936
MD,,10,517995,538310,178734,1235039
MA,,14,766844,1469218,95690,2331752
MI,,21,1370665,1593082,342503,3306250
MN,,10,658643,857738,72125,1588506
MS,,,88516,150644,415349,654509
MO,12,,811932,791444,206126,1809502
MT,4,,138835,114117,21452,274404
NE,5,,321163,170784,44904,536851
NV,3,,73188,60598,20432,154218
NH,4,,154903,130589,11806,297298
NJ,17,,1325467,1264206,285722,2875395
NM,4,,169692,130081,27577,327350
NY,,43,3007932,3378470,405286,6791688
NC,12,,627192,464113,496188,1587493
ND,4,,138669,94769,14444,247882
OH,26,,1791014,1700586,468098,3959698
OK,8,,449697,301658,191731,943086
OR,6,,408433,358866,52323,819622
PA,,29,2090017,2259405,398506,4747928
RI,,4,122359,246518,16123,385000
SC,8,,254062,197486,215430,666978
SD,4,,149841,118023,13400,281264
TN,11,,472592,351233,424792,1248617
TX,,25,1227844,1266804,584568,3079216
UT,4,,238728,156665,27175,422568
VT,3,,85142,70255,6007,161404
VA,12,,590319,442387,328785,1361491
WA,,9,588510,616037,99734,1304281
WV,,7,307555,374091,72560,754206
WI,12,,809997,748804,132737,1691538
WY,3,,70927,45173,11105,127205
